,point_forecast,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95
2025-11-30,28433.15137425008,25223.74797243507,32050.9108303215,21810.166543491854,35464.49225926471
2025-12-31,33508.37475884738,29596.153373571586,37937.7402464063,25425.35993715423,42108.533682823654
2026-01-31,29522.31976078318,25341.982741331787,34392.23256341488,20816.85783029024,38917.357474456425
