,point_forecast,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95
2025-11-30,18422.91454470179,15659.477362996522,21186.351726407058,14738.331635761433,22107.497453642147
2025-12-31,18791.372835595826,15972.666910256452,21610.078760935197,15033.098268476662,22549.647402714992
2026-01-31,19159.831126489862,16285.856457516382,22033.80579546334,15327.86490119189,22991.797351787834
