,point_forecast,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95
2025-11-30,12033.282908622858,5028.3516801798805,28796.692588091813,5028.3516801798805,28796.692588091813
2025-12-31,12470.622016273128,2977.297052050747,52234.093795120985,2977.297052050747,52234.093795120985
2026-01-31,12676.963078846711,1885.375743124599,85237.85960888017,1885.375743124599,85237.85960888017
