,point_forecast,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95
2025-11-30,819478.7617190762,681818.3586457523,957139.1647924001,681818.3586457523,957139.1647924001
2025-12-31,861525.5875690333,680320.0636265209,1042731.1115115456,680320.0636265209,1042731.1115115456
2026-01-31,884788.0458845063,640821.9681114544,1128754.123657558,640821.9681114544,1128754.123657558
