,point_forecast,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95
2025-11-30,23946.543810442497,11596.071646968168,49450.96735542927,11596.071646968168,49450.96735542927
2025-12-31,23185.176720196552,6177.464520415676,87018.29330952965,6177.464520415676,87018.29330952965
2026-01-31,23185.176720196552,4277.601122558489,125666.79410847617,4277.601122558489,125666.79410847617
