,point_forecast,forecast_lower_80,forecast_upper_80,forecast_lower_95,forecast_upper_95
2025-11-30,553329.7895782473,409280.5283417803,697379.0508147144,409280.5283417803,697379.0508147144
2025-12-31,509921.0828678296,332418.78582004167,687423.3799156175,332418.78582004167,687423.3799156175
2026-01-31,513427.2747539821,324164.6266786843,702689.9228292799,324164.6266786843,702689.9228292799
